SE_ID,MLSV_YMD,FOOD_NM,FDINGR_NM
1,20220315,가바쌀밥,"멥쌀, 배아미, 생것"
2,20220315,가바쌀밥,"멥쌀, 백미, 생것"
3,20220315,가바쌀밥,"찹쌀, 백미, 생것"
4,20220318,삼치살유자간장구이,다시마
5,20220318,삼치살유자간장구이,물엿
6,20220318,삼치살유자간장구이,"마늘, 깐마늘, 생것"
7,20220318,삼치살유자간장구이,"생강, 뿌리줄기, 생것"
8,20220318,삼치살유자간장구이,"유자 농축액, 당절임"
9,20220318,삼치살유자간장구이,"삼치, 생것"
10,20220318,삼치살유자간장구이,참기름
11,20220318,삼치살유자간장구이,"간장, 재래"
12,20220318,삼치살유자간장구이,맛술
13,20220318,삼치살유자간장구이,소금
14,20220318,삼치살유자간장구이,"후추, 흰색후추, 가루 "
15,20220318,클로렐라밥,"멥쌀, 백미, 생것"
16,20220318,클로렐라밥,"찹쌀, 백미, 생것"
17,20220322,강황쌀밥,"멥쌀, 백미, 생것"
18,20220322,강황쌀밥,"찹쌀, 백미, 생것"
19,20220405,돈육등뼈김치찜,"김치, 배추 김치"
20,20220405,돈육등뼈김치찜,"마늘, 깐마늘, 생것"
21,20220405,돈육등뼈김치찜,"생강, 뿌리줄기, 생것"
22,20220405,돈육등뼈김치찜,"양파, 생것"
23,20220405,돈육등뼈김치찜,"파, 대파, 생것"
24,20220405,돈육등뼈김치찜,"돼지고기, 등심(등심덧살), 생것"
25,20220405,돈육등뼈김치찜,"돼지고기, 앞다리(앞다리살), 생것"
26,20220405,돈육등뼈김치찜,"청주, 알코올 16%"
27,20220405,돈육등뼈김치찜,"간장, 개량, 양조"
28,20220405,돈육등뼈김치찜,"고추장, 개량"
29,20220405,돈육등뼈김치찜,"고춧가루, 가루"
30,20220405,돈육등뼈김치찜,"된장, 개량, 찌개용"
31,20220405,돈육등뼈김치찜,"후추, 검은후추, 가루 "
32,20220411,들깨무채국,다시마
33,20220411,들깨무채국,멸치
34,20220411,들깨무채국,"당면, 고구마, 말린것"
35,20220411,들깨무채국,"마늘, 깐마늘, 생것"
36,20220411,들깨무채국,"무, 조선무, 생것"
37,20220411,들깨무채국,"파, 대파, 생것"
38,20220411,들깨무채국,"팽이버섯, 생것"
39,20220411,들깨무채국,들기름
40,20220411,들깨무채국,참기름
41,20220411,들깨무채국,"간장, 재래"
42,20220411,들깨무채국,소금
43,20220411,들깨무채국,"후추, 흰색후추, 가루 "
44,20220411,들깨무채국,"들깨, 볶은것"
45,20220418,들깨무채국,다시마
46,20220418,들깨무채국,멸치
47,20220418,들깨무채국,"당면, 고구마, 말린것"
48,20220418,들깨무채국,"마늘, 깐마늘, 생것"
49,20220418,들깨무채국,"무, 조선무, 생것"
50,20220418,들깨무채국,"파, 대파, 생것"
51,20220418,들깨무채국,"팽이버섯, 생것"
52,20220418,들깨무채국,들기름
53,20220418,들깨무채국,참기름
54,20220418,들깨무채국,"간장, 재래"
55,20220418,들깨무채국,소금
56,20220418,들깨무채국,"후추, 흰색후추, 가루 "
57,20220418,들깨무채국,"들깨, 볶은것"
58,20220420,꽃맛살샐러드,허니 머스타드
59,20220420,꽃맛살샐러드,"설탕, 가루 "
60,20220420,꽃맛살샐러드,"브로콜리, 생것"
61,20220420,꽃맛살샐러드,"양배추, 적양배추, 생것"
62,20220420,꽃맛살샐러드,"양파, 생것"
63,20220420,꽃맛살샐러드,"오이, 개량종, 생것"
64,20220420,꽃맛살샐러드,게맛살
65,20220420,꽃맛살샐러드,"마요네즈, 전란"
66,20220420,꽃맛살샐러드,소금
67,20220420,꽃맛살샐러드,"메추리알, 난백, 삶은것"
68,20220421,*칼슘기장밥,기능성기장(칼슘강화)
69,20220421,*칼슘기장밥,기능성찹쌀(칼슘강화)
70,20220421,*칼슘기장밥,멥쌀(백미)
71,20220421,*오리육개장,"마늘/껍질제거(깐것), 꼭지제거"
72,20220421,*오리육개장,"생강/친환경, 껍질제거(깐것)"
73,20220421,*오리육개장,고사리/국산
74,20220421,*오리육개장,숙주나물
75,20220421,*오리육개장,느타리버섯
76,20220421,*오리육개장,배추
