FOOD_NM,INGREDIENT
깍두기,김치(깍두기)
찰기장밥,"기장(찰기장)/친환경, 찹쌀(백미)/친환경, 멥쌀(백미)/친환경"
오징어무국,"미나리/국산, 고춧가루/친환경, 호박(애호박)/친환경, 파(대파)/친환경, 양파/친환경, 무(조선무)/친환경, 다시마/말린것(건조), 멸치(큰멸치, 대멸), 오징어/국산, 오징어/솔방울채"
삼색햄달걀말이,"달걀(전란), 햄(쵸핑햄), 당근/국산, 해바라기유, 우유, 간장(양조간장), 시금치, 표고버섯/친환경, 마늘/껍질제거(깐것), 꼭지제거"
수박,수박
배추김치,김치(배추김치)
보리밥,"멥쌀(현미)/친환경, 보리(찰보리), 멥쌀(백미)/친환경, 찹쌀(현미)/친환경, 기능성기장(칼슘강화)"
해물순두부찌개,"간장(재래간장), 소금(꽃소금), 고춧가루, 다시마(뿌리다시마)/말린것(건조), 달걀, 멸치(큰멸치, 대멸), 오징어/껍질있는것(안깐것), 채썬것(세절), 바지락살, 마늘/껍질제거(깐것), 꼭지제거, 양파/껍질제거(깐것), 팽이버섯, 고추(붉은고추(홍고추)), 두부(순두부), 고추씨기름, 유채씨유(카놀라유), 파(대파)/껍질제거(깐것), 새우살(백새우), 호박(애호박)"
코다리떡강정,"깨(참깨)/볶은것, 껍질제거(깐것), 코다리살/강정용, 깍둑썰기, 설탕(백설탕), 간장(양조간장), 생수, 배, 실고추, 유채씨유(카놀라유), 튀김가루, 전분(감자전분), 떡볶이떡(비엔나떡볶이떡), 양파/껍질제거(깐것)"
베이컨감자채볶음,"깨(참깨)/볶은것, 껍질제거(깐것), 유채씨유(카놀라유), 참기름/국산, 소금(꽃소금), 베이컨, 후추, 감자/껍질제거(깐것)"
그린샐러드,멥쌀(백미)
총각김치,무(왜무)
꽃게오징어무국,기능성찹쌀(칼슘강화)
닭다리오븐구이,"마늘/껍질제거(깐것), 꼭지제거"
차조밥,기능성기장(칼슘강화)
새송이버섯볶음,차조
깻잎절임,간장(양조간장)/국산
치킨커틀렛,하이스가루
우유,우유
북어포순두부찌개,김치(배추김치)/숙성시킨것
수수밥,멥쌀(백미)/친환경
돼지고기숙주불고기,고추장
통곡물고구마맛탕,고구마/친환경
밀감푸딩,푸딩(밀감푸딩)
건새우마늘쫑볶음,파(대파)/친환경
흑미밥,찹쌀(백미)/친환경
시금치된장국,들깨가루
포도,포도(캠벨얼리)
달걀찜,당근
근대된장국,된장(찌개된장)
콩나물무침,"마늘/껍질제거(깐것), 꼭지제거"
돼지고기김치볶음,"깨(참깨)/볶은것, 껍질제거(깐것)"
현미밥,멥쌀(백미)/친환경
반반핫도그,멥쌀(흑미)
두부강정,멥쌀(백미)
오징어브로콜리초무침,기능성찹쌀(칼슘강화)
무김치,"마늘/껍질제거(깐것), 꼭지제거"
병천순대국,기능성멥쌀(쌀눈)
키위,키위/친환경
콩나물밥,간장(양조간장)/국산
돼지고기장조림,간장(양조간장)/국산
팽이버섯된장국,"마늘/껍질제거(깐것), 꼭지제거"
오이치커리무침,물엿
홍국쌀밥,찹쌀(백미)/친환경
찜닭,당근/국산
갈치카레구이,"갈치/구이용, 내장제거, 비가식부위제거, 절단된것"
부대찌개,두부/친환경
사과치커리무침,유자청
도넛,도넛
아욱된장국,된장(찌개된장)
매실주스,얼음
취나물볶음,취나물
닭꼬치구이,양념치킨소스
어묵볶음,파(대파)/껍질제거(깐것)
핫도그,핫도그/냉동
마파두부,전분(감자전분)/국산
배추된장국,된장(전통된장)/전통식품인증
숙주미나리무침,숙주나물/친환경
현미찹쌀밥,멥쌀(백미)/친환경
슈팅스타뚱카롱,마카롱(피스타치오마카롱)
소라살채소무침,소라살
율무밥,찹쌀(백미)/친환경
매운돼지갈비찜,당근/국산
두부양념구이,"마늘/껍질제거(깐것), 꼭지제거"
데리야끼소스,매실농축액
달걀말이,유채씨유(카놀라유)
돼지고기김치찌개,다시마(뿌리다시마)/말린것(건조)
감자빵,옥수수빵
사골만두국,"마늘/껍질제거(깐것), 꼭지제거"
도토리묵김치무침,간장(양조간장)
가자미살튀김,레몬
햄김치볶음밥,햄(쵸핑햄)/친환경
샤인머스캣,포도(골덴마스컷)
연두부달걀찜,당근/껍질제거(깐것)
맑은된장국,두부/찌개용
병아리콩밥,멥쌀(백미)
피자맛너비아니구이돈,버터
고사리토장국,한우(사태)/국용
타코야끼,타코야끼소스
황태미역국,들기름
기장밥,찹쌀(백미)
매운수제비국,당근
귀리밥,귀리/친환경
백김치,김치(백김치)
크랜베리씨앗멸치볶음,간장(양조간장)/국산
브로콜리꽃맛살샐러드,발효유(호상요구르트)/플레인
김치콩나물국,콩나물/국산
삼치레몬마요네즈구이,마요네즈(전란)
오이김치,김치(오이김치)
탕평채,간장
고기떡말이조림,참기름
치킨마요네즈덮밥,양파/껍질제거(깐것)
우엉잡채,청주
소시지떡꼬치,떡꼬치떡
쥬시쿨,혼합과일음료
잔치국수,달걀지단
주먹밥,당근/친환경
돈까스,양파/껍질제거(깐것)
쫄면야채무침,고추장
마늘빵,마늘빵
크림스프,분말(크림수프분말)
찰옥수수밥,멥쌀(백미)
귤,감귤(조생)
모듬어묵국,간장(재래간장)
김치볶음밥,깨(참깨)/볶은것
양배추샐러드,토마토케첩
대패돼지고기고추장볶음,당근
버섯잡채,설탕(백설탕)
버섯소불고기,당근
나박김치,김치(나박김치)
궁채나물,고추(붉은고추(홍고추))
독도사랑주스,에이드(레드자몽에이드)
닭살삼계탕,인삼(수삼)/세척한것
배추겉절이,김치(배추겉절이)
진미채도라지볶음,고추장
해물우동볶음,혼다랑어
차수수밥,멥쌀(현미)
어묵국,간장(재래간장)
아욱수제비국,다시마/말린것(건조)
월도프샐러드,마요네즈/친환경
제육볶음,큰느타리버섯(새송이버섯)/소(小)
옥수수치즈그랑탕,양파/껍질제거(깐것)
뿌팟퐁카레,양배추/친환경
알감자버터구이,콩기름(대두유)
쌀눈현미밥,기능성멥쌀(쌀눈)
분모자짜장찜닭,당근/친환경
