FOOD_NM,INGREDIENT,TYPE
쫄면무침,고추장,반찬
우리쌀찹쌀약과,약과,후식
나물비빔밥/더덕볶음고추장,간장(재래간장),밥
실파국,간장(재래간장),국
대두핫도그,콩기름(대두유),후식
팥밥,멥쌀(백미),밥
근대된장국,고추장,국
달래오이무침,고추장,반찬
돈육목살스테이크,돈가스소스,반찬
바람떡,"떡(개피떡,바람떡)",후식
퀴노아밥,멥쌀(백미),밥
황태채국,간장(재래간장),국
바나나1/2,바나나/일반,후식
양배추찜/쌈장,고추장,반찬
군만두(교자),만두(교자만두),반찬
조각서리태콩밥,멥쌀(백미),밥
맑은감자국,간장(재래간장),국
양념닭강정,간장,반찬
대구맑은탕,간장(재래간장),국
우리밀한라봉롤케이크,케이크(롤케이크),후식
들깨수제비국,감자/껍질제거(깐것),국
볶음김치,고추장,김치
뼈없는감자탕,감자/껍질제거(깐것),국
두부비름나물무침,간장(재래간장),반찬
아귀탕수,간장,반찬
매콤콩나물무침,고춧가루,반찬
돼지고기된장볶음,간장,반찬
명인우리밀찹쌀약과,약과,후식
김말이(1개),콩기름(대두유),후식
떡꼬치,고추장,후식
냉이된장국,고추(붉은고추(홍고추)),국
수제함박스테이크/소스,간장(양조간장),반찬
우리쌀딸기케이크,케이크(딸기케이크),후식
느타리호박볶음,굴소스/국산,반찬
닭안심커틀릿/머스터드소스,꿀(아카시아꿀),반찬
곤드레나물밥/양념간장,간장(양조간장),밥
팽이미소된장국,다시마(뿌리다시마)/말린것(건조),국
삼색계란찜,달걀(난백),반찬
자몽주스,주스(자몽주스),후식
임연수구이,"생강/국산,껍질제거(깐것)",반찬
콩가루쑥국,다시마/말린것(건조),국
김치전,고추(청양고추),반찬
야쿠르트,발효유(드링크요구르트),후식
해시라이스,감자/껍질제거(깐것),국
간장소스닭꼬치구이,간장(양조간장)/국산,반찬
차돌박이된장찌개,고추(풋고추(청고추)),국
양송이미트볼조림,간장/장아찌용,반찬
감자샐러드,감자/껍질제거(깐것),반찬
블루베리산양유요거트,딸기/친환경,후식
순살가자미양념구이,"가자미/껍질제거(깐것),순살",반찬
대저토마토,토마토(흑토마토)/친환경,후식
건파래채소볶음밥,감자/껍질제거(깐것),밥
크로크무슈,식빵(토스트식빵),후식
딸바라떼,혼합주스(딸기바나나주스),후식
쌀국수,간장(재래간장),국
올리브오일닭다리구이,"닭고기(다리,북채)",반찬
우리밀치즈볼,분말(허니버터맛분말),후식
쌈무,무쌈(블루베리무쌈),반찬
참나물건새우된장무침,고춧가루/국산,반찬
고구마전,"고구마/껍질제거(깐것),슬라이스",반찬
두부해물완자전,달걀(전란)/껍질제거(깐것),반찬
돼지갈비김치찌개,간장(재래간장),국
오징어&브로콜리초회,고추장/전통식품인증,반찬
파프리카감자채볶음,감자/껍질제거(깐것),반찬
육개장,간장(재래간장),국
비엔나케첩볶음,깨(참깨)/볶은것,반찬
오이갑장과,간장(양조간장),반찬
꼬리곰탕,"마늘/껍질제거(깐것),꼭지제거",국
사과오이무침,고추장,반찬
삼치구이,레몬,반찬
버섯콩나물밥/양념장,간장(양조간장),밥
캐이준치킨샐러드,꿀,반찬
김구이,김(구운김)/무염,반찬
칼라꿀떡,떡(꿀떡),후식
치킨마요덮밥,간장(양조간장)/국산,밥
현미밥,기능성찹쌀(칼슘강화),밥
머위대된장무침,고추장,반찬
고사리토장국,고사리/삶은것,국
소불고기,간장(양조간장),반찬
날치알김치볶음밥,감자/껍질제거(깐것),밥
부추계란국,간장(재래간장),국
종합어묵국,간장(재래간장),국
가지무침,가지,반찬
초코우유,우유(초코우유),후식
호박군고구마,고구마(호박고구마)/친환경,후식
하이라이스,감자/껍질제거(깐것),밥
순살닭튀김,닭고기(다리살),반찬
배추김치,김치(배추김치),김치
사골떡국,김가루,국
아귀튀김,간장(양조간장)/국산,반찬
피칸파이,파이(미니메이플피칸),후식
가자미살구이,"가자미/강정용,깍둑썰기,순살",반찬
찹쌀떡,떡(찹쌀떡),후식
구운삼겹살볶음,간장(양조간장)/국산,반찬
퀴노아밥,멥쌀(백미),밥
종합어묵국,"가다랑어/고명용,말린것(건조)",국
구이김,김(구운김)/조미한것,반찬
두부부침,달걀(전란),반찬
얼갈이배추국,고추장,국
우리밀찹쌀약과,약과,후식
두부감자국,감자/껍질제거(깐것),국
곤드레나물볶음밥,간장(재래간장),밥
소고기미역국,간장(재래간장),국
해물파전,달걀,반찬
아이스홍시,아이스홍시,후식
북어고추장찌개,간장(재래간장),국
케이준치킨샐러드,꿀(아카시아꿀),반찬
우리밀쫄면무침,고추장,반찬
오징어찌개,고추(붉은고추(홍고추)),국
근대된장무침,고추장,반찬
크런치탕수육,간장,반찬
햄김치찌개,고추장,국
새송이애호박볶음,깨(참깨)/볶은것,반찬
갈치살구이,갈치살,반찬
조랭이떡국,간장(재래간장),국
궁중떡볶이,간장(양조간장)/국산,반찬
꽈배기도너츠,꽈배기/생지,후식
만두피자구이,당근/국산,반찬
천도복숭아1/4,복숭아(천도)/일반,후식
돼지고기된장불고기,간장(양조간장)/국산,반찬
방울토마토,토마토(방울토마토(체리토마토))/일반,후식
들깨떡국,김가루,국
돼지갈비구이,간장(양조간장)/국산,반찬
육전,깨(참깨)/볶은것,반찬
버섯잡채,간장,반찬
오리불고기,간장(양조간장)/국산,반찬
해물굴소스볶음밥,굴소스,밥
자장밥,감자/껍질제거(깐것),밥
애호박된장찌개,감자/껍질제거(깐것),국
삼치우리쌀강정,간장(양조간장)/국산,반찬
크림떡볶이,"고추(풋고추(청고추,재래종))",반찬
돈육김치찌개,간장(재래간장),국
느타리시금치무침,간장(재래간장),반찬
홍메기살강정,고추장,반찬
폭찹,당근,반찬
마늘쫑멸치볶음,간장(양조간장)/국산,반찬
김말이(2개),콩기름(대두유),후식
삼색나물무침,간장(재래간장),반찬
닭고기떡강정,간장,반찬
해물칼국수,간장(재래간장),국
시래기볶음,간장(재래간장),반찬
돈육메추리알장조림,간장(양조간장)/국산,반찬
얼갈이배추무침,고추장,반찬
매콤닭봉구이,간장(양조간장)/국산,반찬
양송이스프,감자/껍질제거(깐것),국
비프커틀렛/소스,달걀(난백),반찬
토마토소스스파게티,당근,밥
버섯전골,간장(재래간장),국
두부미트볼조림,깨(참깨)/볶은것,반찬
청포묵김무침,김가루,반찬
찰수수밥,멥쌀(백미),밥
삼치데리야끼소스구이,간장(양조간장)/국산,반찬
가지무침,가지,반찬
모닝빵샌드위치,감자/껍질제거(깐것),후식
마시는요구르트,발효유(드링크요구르트)/사과맛,후식
허브포크커틀렛/소스,달걀(난백),반찬
오이맛살무침,깨(참깨)/볶은것,반찬
딸기롤케이크,케이크(롤케이크),후식
수삼닭강정/간장,간장(양조간장)/국산,반찬
삼치카레구이,레몬,반찬
들기름미역국,간장(재래간장),국
가자미살튀김,가자미살/강정용,반찬
