FOOD_NM,INGREDIENTS,TYPE
오징어브로컬리초무침,배,반찬
멘보샤+크림소스,유채씨유(카놀라유),간식
섞박지,김치(섞박지),김치
연근가라아게샐러드,레몬,후식
과일크로플(생크림),망고/조각낸것,후식
머위대된장들깨나물,"마늘/껍질제거(깐것), 꼭지제거",반찬
사과요거트샐러드,"사과(부사, 후지)",후식
달콘치킨,옥수수(찰옥수수),반찬
곤드레나물밥/간장양념장(건강식,기능성찹쌀(칼슘강화),밥
콩나물냉국,"마늘/껍질제거(깐것), 꼭지제거",국
구운채소샐러드,"사과(부사, 후지)",후식
수제폭찹,"마늘/껍질제거(깐것), 꼭지제거",반찬
아이스롤케이크(우리밀),케이크(롤케이크),후식
돼지불고기+파채,당근/껍질제거(깐것),반찬
뿌링소떡소떡,분말(양념분말)/치즈맛,후식
치킨가라아게덮밥,기능성찹쌀(칼슘강화),밥
상추쌈(쌈장),상추,반찬
경양식크림스프,월계수잎,국
왕토마토스파게티,토마토,밥
야채피클,피클(청과),반찬
배추겉절이생채,배,김치
콩나물,"마늘, 깐마늘, 생것",반찬
김치국(돼지고기),두부,국
감자탕(돼지뼈국물),"감자, 대지, 생것",국
된장국(단배추),"마늘, 깐마늘, 생것",국
오징어풋마늘무침,"설탕, 백설탕",반찬
된장국(팽이),두부,국
귀리쌀밥,귀리(쌀귀리),밥
한방닭곰탕,밤,국
양상추유자드레싱,"사과(부사, 후지)",후식
애호박새우볶음,양파,반찬
표고채소볶음,당근,반찬
유산균녹차김,김(구운김)/조미한것,반찬
통밀쌀밥,멥쌀(백미)/친환경,밥
돼지뼈감자탕,마늘,국
팽이미역줄기볶음,당근,반찬
갈치구이/양념장,파(쪽파),반찬
우리밀핫도그,핫도그(우리밀핫도그),후식
압맥밥,멥쌀(백미)/친환경,밥
돌나물무침,"사과(부사, 후지)",반찬
시금치양송이무침,양파,반찬
닭봉엿장조림,"생강/국산, 껍질제거(깐것)",반찬
꼬들오이지무침,깨(참깨),반찬
무농약감귤주스,주스(감귤주스),후식
우리밀블랙까몬츄러스,추로스(오레오추로스),후식
강황찹쌀밥,"기능성멥쌀(강황, 울금)",밥
땅콩은행조림,땅콩/껍질제거(깐것),후식
목살편육/상추쌈,"생강/국산, 껍질제거(깐것)",반찬
뽀로로요구르트,발효유(액상요구르트)/사과맛,후식
