iter	RMSE
0	58764.96683
1	58205.54864
2	57674.056
3	57084.30728
4	56588.14067
5	55719.85743
6	55405.70405
7	54742.29203
8	54208.20261
9	53672.45914
10	53245.46236
11	52866.97134
12	52348.13178
13	52032.46056
14	51491.9592
15	50928.2814
16	50551.89229
17	50213.10814
18	49938.57733
19	49360.00991
20	49105.92246
21	48774.76499
22	48423.82297
23	48072.9901
24	47850.75927
25	47591.34281
26	47287.02008
27	47047.70805
28	46918.34955
29	46660.26754
30	46438.4696
31	46227.09715
32	46023.02345
33	45827.88048
34	45553.05079
35	45344.95406
36	45160.30567
37	44994.52427
38	44798.0881
39	44680.61685
40	44462.40487
41	44341.07811
42	44118.18292
43	43949.84908
44	43698.07058
45	43476.94416
46	43046.23496
47	42614.61753
48	42406.71463
49	42227.58573
50	42066.00982
51	41948.00738
52	41747.24387
53	41667.61379
54	41501.74216
55	41266.95431
56	41007.43968
57	40880.16026
58	40720.59719
59	40578.17872
60	40450.05461
61	40225.57182
62	40055.43249
63	39886.61624
64	39690.53815
65	39311.46917
66	39059.75978
67	38929.92039
68	38826.45388
69	38691.31247
70	38587.78499
71	38420.35976
72	38290.0769
73	38160.1433
74	38008.92094
75	37861.58029
76	37749.73298
77	37641.23234
78	37533.87119
79	37405.37471
80	37295.52185
81	37173.67001
82	37040.27177
83	36938.33667
84	36476.20086
85	36331.31681
86	36227.72398
87	36099.52299
88	35988.67244
89	35832.80908
90	35716.50836
91	35599.03119
92	35486.59213
93	35364.34009
94	35243.67156
95	35129.79492
96	35022.79771
97	34912.73887
98	34811.01314
99	34691.84898
100	34575.73803
101	34475.31435
102	34359.52431
103	34235.37499
104	34122.02868
105	34007.24794
106	33852.61421
107	33700.14104
108	33588.94724
109	33439.94184
110	33333.38695
111	33229.11623
112	33019.30076
113	32916.64857
114	32675.87259
115	32576.73945
116	32475.34317
117	32375.73354
118	32271.58527
119	32170.68784
120	32059.85188
121	31962.06799
122	31734.36111
123	31642.3726
124	31535.27278
125	31440.74075
126	31336.80812
127	31106.73693
128	31015.77365
129	30915.83132
130	30826.60165
131	30730.04193
132	30500.86312
133	30405.59157
134	30311.19095
135	30150.17929
136	29944.16258
137	29851.30508
138	29761.11944
139	29439.34875
140	29359.7478
141	28999.39018
142	28916.50503
143	28773.30115
144	28688.40173
145	28607.285
146	28526.12815
147	28445.41313
148	28358.01322
149	28277.85211
150	28116.80656
151	28040.65741
152	27963.06235
153	27884.90076
154	27657.34539
155	27489.28152
156	27349.45369
157	27275.03412
158	27203.87045
159	27127.07014
160	27054.67809
161	26980.52834
162	26909.32009
163	26753.73943
164	26684.39889
165	26617.74131
166	26422.70812
167	26361.43362
168	26294.0924
169	26227.37865
170	26155.62256
171	26090.10683
172	26024.25262
173	25959.91934
174	25863.362
175	25800.15431
176	25733.58301
177	25672.53318
178	25612.29111
179	25547.40494
180	25485.97105
181	25356.79204
182	25236.23754
183	25178.65044
184	25120.42674
185	25001.56006
186	24944.39669
187	24889.96174
188	24821.80821
189	24719.31629
190	24663.11829
191	24552.80908
192	24493.82836
193	24336.59225
194	24274.16647
195	24217.43242
196	24164.01051
197	24083.3405
198	24031.82195
199	23980.82247
200	23927.9464
201	23873.69444
202	23824.02112
203	23721.85189
204	23575.10089
205	23523.16093
206	23470.55244
207	23419.47752
208	23364.63152
209	23313.2047
210	23089.54947
211	23035.5557
212	22988.64495
213	22939.56805
214	22877.68127
215	22832.00691
216	22786.76964
217	22695.81266
218	22644.0024
219	22597.93747
220	22514.5252
221	22446.27626
222	22360.18965
223	22319.51448
224	22272.24861
225	22226.06859
226	22179.3742
227	22137.11115
228	22097.16818
229	22054.82934
230	22009.51107
231	21966.97814
232	21922.42083
233	21881.19629
234	21838.00624
235	21725.23392
236	21684.00343
237	21643.25828
238	21525.4272
239	21486.98997
240	21448.7087
241	21410.769
242	21345.31796
243	21305.68527
244	21258.07607
245	21218.59909
246	21135.97552
247	21099.67894
248	21059.78559
249	21019.13399
250	20981.78167
251	20946.74274
252	20910.07039
253	20880.08208
254	20845.57886
255	20810.80116
256	20772.54029
257	20737.79525
258	20689.2722
259	20591.88728
260	20536.22937
261	20499.71812
262	20462.9066
263	20433.60832
264	20400.6265
265	20355.55456
266	20311.22452
267	20283.24348
268	20248.36335
269	20157.26159
270	20087.76047
271	20054.92902
272	20023.8223
273	19990.58666
274	19949.19072
275	19915.89707
276	19882.43562
277	19848.99912
278	19816.54077
279	19785.3032
280	19745.47843
281	19708.8369
282	19671.69211
283	19628.31975
284	19593.9217
285	19562.65568
286	19522.06792
287	19492.77372
288	19460.94674
289	19418.54357
290	19383.26705
291	19327.82747
292	19299.11823
293	19272.19679
294	19244.5413
295	19215.10726
296	19184.57504
297	19145.43899
298	19116.87844
299	19090.0326
300	19058.94989
301	18981.44401
302	18953.24761
303	18925.32069
304	18897.36962
305	18870.0037
306	18815.91881
307	18788.55158
308	18762.93481
309	18729.78725
310	18703.41428
311	18670.20785
312	18636.84132
313	18604.80264
314	18579.97857
315	18550.37607
316	18523.63935
317	18473.28018
318	18437.49836
319	18413.96241
320	18383.68617
321	18358.96248
322	18336.69841
323	18314.44799
324	18281.26365
325	18257.98551
326	18234.93724
327	18199.64265
328	18172.55056
329	18149.51032
330	18128.26895
331	18103.95687
332	18068.47338
333	17991.01891
334	17965.2887
335	17942.62374
336	17923.59573
337	17894.58442
338	17864.97535
339	17829.54082
340	17777.22867
341	17705.59281
342	17681.83649
343	17654.58639
344	17627.44408
345	17592.10014
346	17564.89019
347	17520.02771
348	17499.35812
349	17472.01159
350	17449.1436
351	17428.26084
352	17392.18058
353	17370.93822
354	17346.65031
355	17324.56834
356	17297.43558
357	17269.82701
358	17236.47
359	17191.63335
360	17166.53405
361	17146.23044
362	17125.6241
363	17101.9086
364	17082.79239
365	17061.34251
366	17041.17955
367	17011.15527
368	16991.44864
369	16972.52878
370	16918.62766
371	16899.0586
372	16878.70342
373	16857.46749
374	16838.17183
375	16791.57941
376	16774.64938
377	16755.51117
378	16738.26866
379	16712.90692
380	16668.03758
381	16648.4655
382	16628.4585
383	16602.89832
384	16583.62174
385	16564.30513
386	16544.92216
387	16526.00617
388	16507.25267
389	16487.08546
390	16468.56545
391	16442.52632
392	16425.74248
393	16407.3345
394	16389.03775
395	16369.46706
396	16348.54361
397	16331.15909
398	16311.88079
399	16294.72829
400	16275.63146
401	16257.90975
402	16240.32441
403	16222.37255
404	16201.64417
405	16183.12597
406	16161.24578
407	16125.64587
408	16107.0224
409	16089.60401
410	16071.18007
411	16053.4196
412	16035.16807
413	16018.01531
414	15997.97574
415	15982.03416
416	15962.96997
417	15944.61009
418	15925.95335
419	15907.45176
420	15891.94518
421	15860.1971
422	15843.4626
423	15827.71356
424	15806.70742
425	15786.36432
426	15769.41111
427	15753.03763
428	15733.38657
429	15717.16936
430	15701.02504
431	15685.68235
432	15669.28366
433	15653.34523
434	15624.87977
435	15608.99278
436	15593.20344
437	15577.03683
438	15559.73147
439	15541.77037
440	15526.14776
441	15510.62643
442	15493.90336
443	15476.439
444	15414.41164
445	15394.70781
446	15376.38682
447	15357.70992
448	15336.47786
449	15321.87569
450	15306.17213
451	15288.58495
452	15273.01933
453	15257.63665
454	15241.43639
455	15221.57192
456	15189.08396
457	15173.76035
458	15155.51587
459	15138.8105
460	15122.01245
461	15103.18739
462	15081.96126
463	15068.02711
464	15051.76362
465	15037.74872
466	15003.91432
467	14988.1115
468	14971.50326
469	14923.17731
470	14909.82941
471	14895.35855
472	14877.70442
473	14861.17188
474	14845.21547
475	14831.29346
476	14815.38003
477	14794.91056
478	14779.45649
479	14764.10009
480	14742.77085
481	14728.10054
482	14713.68369
483	14699.64313
484	14684.47537
485	14662.31237
486	14648.38972
487	14633.79538
488	14619.46451
489	14604.48792
490	14581.70628
491	14567.99238
492	14554.32374
493	14540.48761
494	14522.58652
495	14509.01861
496	14493.59364
497	14452.49071
498	14436.01532
499	14411.83754
