iter	Passed	Remaining
0	143	71526
1	143	35847
2	144	23984
3	148	18360
4	162	16071
5	176	14503
6	189	13379
7	203	12529
8	217	11845
9	230	11298
10	243	10816
11	256	10425
12	269	10096
13	283	9827
14	296	9589
15	309	9377
16	323	9178
17	327	8763
18	328	8316
19	341	8202
20	354	8089
21	356	7742
22	369	7659
23	382	7588
24	395	7516
25	409	7468
26	411	7208
27	424	7163
28	427	6942
29	440	6902
30	453	6866
31	466	6826
32	480	6796
33	487	6683
34	490	6513
35	492	6350
36	505	6327
37	506	6162
38	508	6006
39	521	5992
40	522	5847
41	529	5773
42	530	5640
43	543	5637
44	557	5634
45	558	5512
46	560	5406
47	562	5298
48	563	5183
49	576	5189
50	589	5190
51	602	5189
52	604	5100
53	605	5003
54	606	4908
55	619	4911
56	620	4825
57	621	4736
58	623	4658
59	636	4669
60	649	4677
61	663	4687
62	676	4693
63	689	4699
64	697	4667
65	710	4675
66	712	4606
67	715	4544
68	728	4552
69	742	4563
70	745	4504
71	758	4509
72	759	4444
73	773	4451
74	778	4409
75	792	4418
76	806	4430
77	820	4437
78	834	4448
79	836	4393
80	850	4397
81	863	4402
82	878	4414
83	893	4423
84	907	4429
85	920	4431
86	933	4433
87	946	4431
88	960	4434
89	974	4437
90	988	4442
91	1002	4445
92	1009	4418
93	1023	4420
94	1037	4422
95	1050	4422
96	1065	4425
97	1079	4427
98	1093	4430
99	1106	4426
100	1120	4426
101	1133	4423
102	1146	4419
103	1159	4415
104	1173	4413
105	1187	4414
106	1200	4408
107	1214	4406
108	1227	4401
109	1240	4398
110	1253	4394
111	1266	4387
112	1279	4381
113	1286	4355
114	1300	4352
115	1313	4349
116	1327	4346
117	1342	4344
118	1356	4342
119	1370	4340
120	1385	4338
121	1399	4336
122	1414	4334
123	1418	4300
124	1431	4295
125	1446	4293
126	1461	4291
127	1474	4285
128	1489	4283
129	1503	4278
130	1517	4273
131	1530	4265
132	1543	4258
133	1556	4251
134	1569	4243
135	1582	4236
136	1596	4230
137	1611	4226
