SE_ID,SC_GRAD_VLUE,NGST_QY
1,차수수밥,169
2,사색물만두국,156
3,영양돈육갈비찜,152
4,차수수밥,212
5,사색물만두국,208
6,영양돈육갈비찜,91
7,과일샐러드,58
8,차수수밥,84
9,사색물만두국,156
10,영양돈육갈비찜,60
11,비타민오이생채,25
12,과일샐러드,116
13,차수수밥,169
14,사색물만두국,260
15,영양돈육갈비찜,152
16,비타민오이생채,77
17,과일샐러드,116
18,배추김치,39
19,차수수밥,169
20,사색물만두국,104
21,영양돈육갈비찜,121
22,비타민오이생채,0
23,과일샐러드,29
24,차수수밥,212
25,사색물만두국,0
26,영양돈육갈비찜,152
27,과일샐러드,116
28,배추김치,23
29,차수수밥,0
30,사색물만두국,156
31,영양돈육갈비찜,60
32,비타민오이생채,0
33,과일샐러드,116
34,차수수밥,212
35,사색물만두국,156
36,영양돈육갈비찜,121
37,비타민오이생채,38
38,과일샐러드,58
39,차수수밥,169
40,사색물만두국,208
41,영양돈육갈비찜,121
42,비타민오이생채,77
43,과일샐러드,116
44,배추김치,55
45,차수수밥,212
46,사색물만두국,52
47,영양돈육갈비찜,121
48,과일샐러드,87
49,배추김치,31
50,차수수밥,212
51,사색물만두국,260
52,영양돈육갈비찜,152
53,비타민오이생채,77
54,과일샐러드,116
55,배추김치,31
56,차수수밥,84
57,사색물만두국,104
58,영양돈육갈비찜,30
59,과일샐러드,0
60,배추김치,31
61,차수수밥,42
62,사색물만두국,104
63,영양돈육갈비찜,152
64,비타민오이생채,0
65,과일샐러드,58
66,차수수밥,169
67,사색물만두국,156
68,영양돈육갈비찜,91
69,비타민오이생채,0
70,과일샐러드,116
71,차수수밥,169
72,사색물만두국,104
73,영양돈육갈비찜,182
74,비타민오이생채,25
75,과일샐러드,58
76,차수수밥,169
77,사색물만두국,156
78,영양돈육갈비찜,91
79,비타민오이생채,0
80,과일샐러드,145
81,배추김치,39
82,차수수밥,212
83,사색물만두국,104
84,영양돈육갈비찜,121
85,비타민오이생채,12
86,차수수밥,169
87,사색물만두국,104
88,영양돈육갈비찜,91
89,비타민오이생채,12
90,과일샐러드,0
91,차수수밥,169
92,사색물만두국,156
93,영양돈육갈비찜,60
94,비타민오이생채,64
95,과일샐러드,116
96,차수수밥,169
97,사색물만두국,104
98,영양돈육갈비찜,30
99,비타민오이생채,25
100,과일샐러드,58
101,차수수밥,212
102,사색물만두국,260
103,영양돈육갈비찜,243
104,비타민오이생채,64
105,과일샐러드,29
106,차수수밥,84
107,사색물만두국,104
108,영양돈육갈비찜,91
109,비타민오이생채,25
110,과일샐러드,87
111,짜장밥,364
