Food,Quantity
차수수밥,198376
사색물만두국,3172
영양돈육갈비찜,2485
과일샐러드,1595
비타민오이생채,521
배추김치,206287
짜장밥,56806
김떡만강정,25298
사과,47175
메론맛우유,35460
달걀파국,66377
보리밥,353421
얼갈이된장국,30240
돈육메추리알매운조림,31541
실곤약무침,31947
콘칩팝콘볼,27716
깍두기,60247
찹쌀밥,155253
김치우동,108591
닭다리구이,59630
독도케이크,29379
상추초간장샐러드,7508
단무지무침,4821
발아현미밥,158047
조갯살미역국,46324
진미채무침,19720
폭찹,31113
핫도그,36102
조각콩밥,163009
어묵국,253202
고추장돈육불고기,76027
햄치즈롤케찹,44112
총각김치,20529
바나나,61300
훈제오리볶음밥,88728
팽이버섯미역장국,36765
국물떡볶이,55190
백김치,12375
요구르트,49609
파인애플,53189
찰옥수수쌀밥,114133
건파래아몬드볶음,36477
치즈돈까스,42858
아욱된장국,25063
갓김치,985
꽃게탕,89652
닭다리살매실양념구이,29558
콥샐러드,17965
자장면,61504
무짠지무침,14353
포도쥬스,35658
고기김치만두,34097
단호박스프,31856
돈까스,30325
귤,48160
오이미역초무침,28507
기장밥,267153
햄모듬찌개,88818
팔보채,10250
독도는우리땅케?,16242
건파래볶음,10745
돼지뼈감자탕,79556
해물파전,15267
골드키위,78202
연근조림,12101
흑미밥,386134
떡볶이,62112
김말이,64170
오징어튀김,60826
찹쌀콩멸치볶음,67721
깍두기햄볶음밥,67817
팽이버섯된장국,27706
불고기베이크,22643
사과즙,36330
혼합곡밥,101498
도토리묵온국,48663
닭볶음,17973
고구마순볶음,10097
메론,41298
귀리쌀밥,57947
설렁탕,97331
돈육달걀장조림,40334
고추장멸치볶음,12393
모닝빵샌드위치,48862
석박지,11406
고등어김치조림,47171
비엔나소시지볶음,41866
떠먹는요구르트,64080
들깨미역국,39757
혼합잡곡밥,105740
순두부찌개,84117
버섯어묵볶음,33544
생선살까스,26463
쿠키,33303
김치볶음밥,97501
김구이,10362
큐브스테이크,57210
다시마무국,42296
근대된장국,38982
오징어브로콜리숙회,31821
잡채,45730
대박닭꼬치구이,52172
홍합무국,41495
명엽채땅콩볶음,16005
미트볼떡조림,36320
깻잎김치,9470
단감,57944
차조밥,279311
고구마치즈범벅,19140
등심돈까스,42687
후레쉬업주스,47655
호박고추장찌개,45617
감자옹심이국,59574
두부버섯조림,22824
닭갈비,94196
배,61104
스파게티,171431
양배추샐러드,39852
모닝빵,77134
딸기쨈,25576
