FOOD_NM,INGREDIENTS,TYPE,Quantity
깍두기,김치(깍두기),김치,60247.0
찰기장밥,"기장(찰기장)/친환경, 찹쌀(백미)/친환경, 멥쌀(백미)/친환경",밥,
오징어무국,"미나리/국산, 고춧가루/친환경, 호박(애호박)/친환경, 파(대파)/친환경, 양파/친환경, 무(조선무)/친환경, 다시마/말린것(건조), 멸치(큰멸치, 대멸), 오징어/국산, 오징어/솔방울채",국,
삼색햄달걀말이,"달걀(전란), 햄(쵸핑햄), 당근/국산, 해바라기유, 우유, 간장(양조간장), 시금치, 표고버섯/친환경, 마늘/껍질제거(깐것), 꼭지제거",반찬,
수박,수박,후식,14014.0
배추김치,김치(배추김치),김치,206287.0
보리밥,"멥쌀(현미)/친환경, 보리(찰보리), 멥쌀(백미)/친환경, 찹쌀(현미)/친환경, 기능성기장(칼슘강화)",밥,353421.0
해물순두부찌개,"간장(재래간장), 소금(꽃소금), 고춧가루, 다시마(뿌리다시마)/말린것(건조), 달걀, 멸치(큰멸치, 대멸), 오징어/껍질있는것(안깐것), 채썬것(세절), 바지락살, 마늘/껍질제거(깐것), 꼭지제거, 양파/껍질제거(깐것), 팽이버섯, 고추(붉은고추(홍고추)), 두부(순두부), 고추씨기름, 유채씨유(카놀라유), 파(대파)/껍질제거(깐것), 새우살(백새우), 호박(애호박)",국,
코다리떡강정,"깨(참깨)/볶은것, 껍질제거(깐것), 코다리살/강정용, 깍둑썰기, 설탕(백설탕), 간장(양조간장), 생수, 배, 실고추, 유채씨유(카놀라유), 튀김가루, 전분(감자전분), 떡볶이떡(비엔나떡볶이떡), 양파/껍질제거(깐것)",반찬,
베이컨감자채볶음,"깨(참깨)/볶은것, 껍질제거(깐것), 유채씨유(카놀라유), 참기름/국산, 소금(꽃소금), 베이컨, 후추, 감자/껍질제거(깐것)",반찬,
그린샐러드,멥쌀(백미),후식,
총각김치,무(왜무),김치,20529.0
꽃게오징어무국,기능성찹쌀(칼슘강화),국,
닭다리오븐구이,"마늘/껍질제거(깐것), 꼭지제거",반찬,
차조밥,기능성기장(칼슘강화),밥,279311.0
새송이버섯볶음,차조,반찬,
깻잎절임,간장(양조간장)/국산,반찬,
치킨커틀렛,하이스가루,반찬,35689.0
