FOOD_NM,INGREDIENTS,TYPE,Quantity
깍두기,김치(깍두기),김치,60247.0
수박,수박,후식,14014.0
배추김치,김치(배추김치),김치,206287.0
보리밥,"멥쌀(현미)/친환경, 보리(찰보리), 멥쌀(백미)/친환경, 찹쌀(현미)/친환경, 기능성기장(칼슘강화)",밥,353421.0
총각김치,무(왜무),김치,20529.0
차조밥,기능성기장(칼슘강화),밥,279311.0
치킨커틀렛,하이스가루,반찬,35689.0
흑미밥,찹쌀(백미)/친환경,밥,386134.0
포도,포도(캠벨얼리),후식,2615.0
달걀찜,당근,반찬,57875.0
근대된장국,된장(찌개된장),국,38982.0
현미밥,멥쌀(백미)/친환경,밥,128152.0
팽이버섯된장국,"마늘/껍질제거(깐것), 꼭지제거",국,27706.0
아욱된장국,된장(찌개된장),국,25063.0
핫도그,핫도그/냉동,후식,36102.0
달걀말이,유채씨유(카놀라유),반찬,2400.0
돼지고기김치찌개,다시마(뿌리다시마)/말린것(건조),국,62230.0
기장밥,찹쌀(백미),밥,267153.0
백김치,김치(백김치),김치,12375.0
오이김치,김치(오이김치),김치,7927.0
탕평채,간장,반찬,12411.0
돈까스,양파/껍질제거(깐것),반찬,30325.0
귤,감귤(조생),후식,48160.0
김치볶음밥,깨(참깨)/볶은것,밥,97501.0
양배추샐러드,토마토케첩,후식,39852.0
버섯잡채,설탕(백설탕),반찬,9239.0
배추겉절이,김치(배추겉절이),김치,11988.0
차수수밥,멥쌀(현미),밥,198376.0
어묵국,간장(재래간장),국,253202.0
김구이,김(구운김)/무염,반찬,10362.0
달걀파국,다시마/말린것(건조),국,66377.0
발아현미밥,찹쌀(백미),밥,158047.0
갓김치,김치(갓김치),김치,985.0
콩가루배추국,된장,국,2940.0
사과,설탕(백설탕),후식,47175.0
육개장,고사리/삶은것,국,21273.0
요구르트,발효유(액상요구르트),후식,49609.0
찹쌀밥,멥쌀(백미),밥,155253.0
열무김치,김치(열무김치),김치,4148.0
설렁탕,파(대파)/껍질제거(깐것),국,97331.0
우렁된장찌개,감자,반찬,2926.0
콩나물파채무침,마늘/껍질제거(깐것),반찬,465.0
과일샐러드,바나나,후식,1595.0
건파래볶음,소금(꽃소금),반찬,10745.0
닭곰탕,소금(굵은소금),국,62611.0
단무지무침,단무지(반달슬라이스단무지)/무색소,반찬,4821.0
다시마무국,소금(굵은소금),국,42296.0
불고기,파(대파)/채썬것(세절),반찬,9860.0
깻잎김치,김치(깻잎김치),반찬,9470.0
꼬치어묵국,어묵(사각어묵꼬치),국,7343.0
바나나,멜론(머스크멜론),후식,61300.0
콩나물국,파(대파)/일반,국,21796.0
순두부찌개,호박(애호박)/친환경,국,84117.0
열무된장국,다시마/말린것(건조),국,41124.0
배,배,후식,61104.0
양배추쌈,간장(양조간장),반찬,664.0
맑은콩나물국,다시마/말린것(건조),국,43110.0
골뱅이무침,양파/친환경,반찬,1573.0
멜론,멜론(머스크멜론)/GAP,후식,14150.0
청국장찌개,청국장,국,36809.0
망고샐러드,버터,후식,4569.0
케이크,케이크(미니케이크),후식,1440.0
파인애플,파인애플/비가식부위제거,후식,53189.0
연근조림,간장(양조간장),반찬,12101.0
옥수수밥,멥쌀(백미)/친환경,밥,50568.0
단감,감(단감),후식,57944.0
생선커틀렛,마요네즈(유정란),반찬,32942.0
오이피클,피클(모둠채소피클),반찬,5927.0
곤드레밥,곤달비,밥,10343.0
도라지오이생채,고추장/전통식품인증,반찬,536.0
미역줄기볶음,미역줄기,반찬,19813.0
고등어김치조림,고춧가루,반찬,47171.0
거봉,포도(거봉),후식,663.0
소고기무국,간장(재래간장)/친환경,국,38952.0
쿠키,쿠키,후식,33303.0
삼색나물,"도라지/껍질제거(깐것), 실채",반찬,17465.0
송편,송편(깨송편),후식,1449.0
잡채,양파/껍질제거(깐것),반찬,45730.0
돼지갈비찜,돼지고기(사태)/조림용,반찬,5084.0
참치김치볶음,깨(참깨)/볶은것,반찬,19938.0
골드키위,키위(골드키위),후식,78202.0
햄모듬찌개,고추장,반찬,88818.0
꽃게탕,두부/친환경,국,89652.0
회오리감자,시즈닝/양파맛,후식,11760.0
숙주나물무침,참기름/국산,반찬,36697.0
북어국,간장(재래간장),국,3005.0
쌀국수,소금(꽃소금),밥,17319.0
갈비탕,간장(재래간장)/친환경,국,32263.0
짜장밥,양파/껍질제거(깐것),밥,56806.0
로제떡볶이,호박(애호박),후식,11555.0
맛살콩나물냉채,설탕(백설탕),반찬,1565.0
얼갈이된장국,파(대파)/껍질제거(깐것),국,30240.0
감자옹심이국,새우(꽃새우)/말린것(건조),국,59574.0
들깨미역국,젓(멸치액젓),국,39757.0
감자전,유채씨유(카놀라유),반찬,5805.0
자두,무(조선무)/세척한것,후식,31121.0
토마토샐러드,양파/껍질제거(깐것),후식,2208.0
돼지고기볶음,간장(양조간장)/국산,반찬,11264.0
떡볶이,튀김(채소튀김),후식,62112.0
미숫가루,토마토,후식,21303.0
닭갈비,고춧가루/친환경,반찬,94196.0
혼합곡밥,멥쌀(백미),밥,101498.0
쇠고기무국,"마늘/껍질제거(깐것),꼭지제거",국,36972.0
닭볶음,고구마스틱,반찬,17973.0
김가루볶음밥,간장(양조간장)/친환경,밥,18530.0
햄전,달걀(전란),반찬,2101.0
에그타르트,에그타르트/생지,후식,12574.0
햄김치찌개,고춧가루/친환경,국,38612.0
석박지,김치(깍두기),김치,11406.0
자장면,간장(양조간장)/친환경,밥,61504.0
김치우동,가쓰오우동소스,밥,108591.0
깻잎찜,고추(붉은고추(홍고추)),반찬,10717.0
고구마순볶음,고구마줄기,반찬,10097.0
얼갈이된장무침,깨(참깨)/볶은것,반찬,7314.0
쇠고기미역국,"마늘/껍질제거(깐것),꼭지제거",국,35679.0
쇠고기야채죽,감자,밥,11512.0
짬뽕국,고추(붉은고추(홍고추)),국,20752.0
떡만두국,다시마/말린것(건조),국,70350.0
진미채무침,"마늘/껍질제거(깐것),꼭지제거",반찬,19720.0
코다리강정,간장,반찬,12673.0
떠먹는요구르트,발효유(호상요구르트)/가당,후식,64080.0
바람떡,"떡(개피떡,바람떡)",반찬,23671.0
해물파전,달걀,반찬,15267.0
